Month Year,Bill_Value
Apr-19,259028743.6
May-19,304323603
Jun-19,292830638.7
Jul-19,278436714
Aug-19,325491393
Sep-19,369252544
Oct-19,276722185.6
Nov-19,347051530
Dec-19,389931998.5
Jan-20,327239236
Feb-20,468482572
Mar-20,65451249
Apr-20,322104028
May-20,475126255.8
Jun-20,551663883.1
Jul-20,521151338.1
Aug-20,479161852.1
Sep-20,504703058
Oct-20,478465005
Nov-20,562635169
Dec-20,624177604.5
Jan-21,437185717
Feb-21,503385253.7
Mar-21,332905719
Apr-21,356991237.8
May-21,517571518.5
Jun-21,604880509.2
Jul-21,557803285.7
Aug-21,527251785.8
Sep-21,457707214.9
Oct-21,608567099.9
Nov-21,466919755
Dec-21,631343678.2
Jan-22,528736845.3
Feb-22,580343070.3
Mar-22,570737221.1
Apr-22,448207092.1
